Vgs (V),Vds (V),Ids (A)
5.00E-01,-5.05E-02,-1.30E-04
5.00E-01,-6.06E-02,-1.54E-04
5.00E-01,-7.07E-02,-1.78E-04
5.00E-01,-8.08E-02,-2.00E-04
5.00E-01,-9.09E-02,-2.21E-04
5.00E-01,-1.01E-01,-2.42E-04
5.00E-01,-1.11E-01,-2.61E-04
5.00E-01,-1.21E-01,-2.80E-04
5.00E-01,-1.31E-01,-2.97E-04
5.00E-01,-1.41E-01,-3.15E-04
5.00E-01,-1.52E-01,-3.31E-04
5.00E-01,-1.62E-01,-3.46E-04
5.00E-01,-1.72E-01,-3.60E-04
5.00E-01,-1.82E-01,-3.74E-04
5.00E-01,-1.92E-01,-3.86E-04
5.00E-01,-2.02E-01,-3.98E-04
5.00E-01,-2.12E-01,-4.08E-04
5.00E-01,-2.22E-01,-4.19E-04
5.00E-01,-2.32E-01,-4.26E-04
5.00E-01,-2.42E-01,-4.37E-04
5.00E-01,-2.53E-01,-4.45E-04
5.00E-01,-2.63E-01,-4.53E-04
5.00E-01,-2.73E-01,-4.60E-04
5.00E-01,-2.83E-01,-4.66E-04
5.00E-01,-2.93E-01,-4.73E-04
5.00E-01,-3.03E-01,-4.78E-04
5.00E-01,-3.13E-01,-4.83E-04
5.00E-01,-3.23E-01,-4.87E-04
5.00E-01,-3.33E-01,-4.90E-04
5.00E-01,-3.43E-01,-4.96E-04
5.00E-01,-3.54E-01,-4.99E-04
5.00E-01,-3.64E-01,-5.03E-04
5.00E-01,-3.74E-01,-5.06E-04
